id,category,question,answer,keywords,source,embedding_text
FAQ001,機票服務,改票需要多少費用？,"改票費用依航空公司及票種規定而異，一般改票費用約為 TWD 800-3,300 不等。實際費用需視您的機票艙等、航空公司規定及改票時間點而定。我們會在確認改票前，先向您說明改票費用，待您確認後再進行作業。",改票 費用 手續費 改票費,對話分析,改票需要多少費用？改票費用依航空公司及票種規定而異，一般改票費用約為TWD 800-3300不等。實際費用需視您的機票艙等、航空公司規定及改票時間點而定。
FAQ002,機票服務,開票期限是什麼時候？,"訂位後需於指定時間內完成開票，否則訂位會自動取消。開票期限依航空公司規定不同：
- 一般國際線：訂位後24小時至3天內
- 民航/廉航：訂位後1小時內
- 旺季熱門航班：可能更短

建議確認行程後盡快通知我們開票，以免機位被釋出。",開票 期限 時間 訂位取消,對話分析,開票期限是什麼時候？訂位後需於指定時間內完成開票，否則訂位會自動取消。一般國際線訂位後24小時至3天內，民航廉航訂位後1小時內，建議確認行程後盡快通知開票。
FAQ003,機票服務,訂票需要提供什麼資料？,"訂票需要提供以下旅客資料：
1. 護照英文姓名（需與護照完全一致）
2. 出生日期
3. 護照號碼
4. 護照有效期限
5. 國籍
6. 聯絡電話與Email

若為多位旅客，請提供每位旅客的完整資料。如有座位偏好或特殊需求也請一併告知。",訂票 資料 護照 姓名 需要什麼,對話分析,訂票需要提供什麼資料？需要提供護照英文姓名（與護照一致）、出生日期、護照號碼、護照有效期限、國籍、聯絡電話與Email。
FAQ004,機票服務,機票可以退嗎？退票費用多少？,"機票是否可退及退票費用，取決於您購買的票種：
- 部分促銷票/特惠票：不可退票
- 一般經濟艙：可退票，需扣除退票手續費（通常TWD 2,000-5,000）
- 商務艙/頭等艙：退票條件較寬鬆，手續費較低

若需退票，請盡早告知，我們會查詢您的票種規定並說明退票費用。注意：已使用的機票無法退票。",退票 可以退嗎 退票費用 取消,業務知識,機票可以退嗎？退票費用多少？取決於票種，部分促銷票不可退，一般經濟艙可退需扣手續費約TWD 2000-5000，商務艙條件較寬鬆。若需退票請盡早告知。
FAQ005,機票服務,機票訂好後多久會收到？,"機票開立完成後，我們會於當日或隔日將電子機票(E-Ticket)以Email發送給您。

電子機票內容包含：
- 旅客姓名
- 航班資訊
- 訂位代號
- 票號

收到後請核對資料是否正確。如需紙本收據，請另行告知，會計會開立並寄送/送達。",機票 多久 收到 電子機票 寄送,對話分析,機票訂好後多久會收到？開票完成後當日或隔日會以Email發送電子機票，內容包含旅客姓名、航班資訊、訂位代號、票號。
FAQ006,簽證護照,台胞證要幾天才能辦好？,"台胞證（往來大陸通行證）辦理時間：
- 一般件：5-7個工作天
- 急件：3個工作天（需加收急件費用）
- 特急件：1-2個工作天（視情況，費用較高）

以上為正常情況，遇連假或特殊時期可能延長。建議出發前2週提早辦理，避免影響行程。",台胞證 幾天 辦理時間 多久,對話分析,台胞證要幾天才能辦好？一般件5-7個工作天，急件3個工作天需加收費用，特急件1-2個工作天。建議出發前2週提早辦理。
FAQ007,簽證護照,辦台胞證需要什麼資料？,"辦理台胞證需準備以下資料：
1. 護照正本（效期6個月以上）
2. 身分證正本
3. 2吋白底彩色照片2張（6個月內）
4. 舊台胞證（如有）
5. 戶籍謄本（首次辦理或資料有變更時需要，需含父母資料及記事欄）

特殊情況：
- 出生地為國外者：需附戶籍謄本含父母資料
- 有外文別名者：需填寫委任書",台胞證 資料 需要什麼 辦理 準備,對話分析,辦台胞證需要什麼資料？需要護照正本、身分證正本、2吋白底彩色照片2張、舊台胞證（如有）、戶籍謄本（首次或資料變更時）。出生地國外者需附含父母資料的戶籍謄本。
FAQ008,簽證護照,去泰國需要簽證嗎？,"持台灣護照前往泰國觀光，目前享有免簽待遇：
- 停留期限：最長60天
- 適用目的：觀光、短期商務活動
- 注意事項：護照效期須6個月以上

入境時可能需要提供：
- 回程機票證明
- 住宿訂房紀錄
- 足夠旅費證明

若需停留超過60天或有工作需求，則須申請相應簽證。",泰國 簽證 免簽 需要嗎,金龍官網,去泰國需要簽證嗎？持台灣護照前往泰國觀光免簽，可停留最長60天，護照效期須6個月以上。入境可能需提供回程機票、住宿證明、旅費證明。
FAQ009,簽證護照,申根國家免簽可以待多久？,"持台灣護照可免簽入境申根區36國：
- 停留期限：180天內停留不超過90天
- 適用國家：德國、法國、義大利、西班牙、荷蘭等27個申根公約國

重要注意事項：
1. 護照效期須6個月以上
2. 護照上須有身分證字號
3. 90天是所有申根國家合計，非單一國家
4. 建議攜帶回程機票、住宿證明、財力證明

其他免申根簽證國家：英國、愛爾蘭（非申根但免簽）",申根 免簽 多久 停留 歐洲,金龍官網,申根國家免簽可以待多久？持台灣護照可免簽入境申根區36國，180天內停留不超過90天，護照效期須6個月以上且有身分證字號。
FAQ010,簽證護照,馬來西亞需要辦入境卡嗎？,"是的，馬來西亞自2023年12月1日起實施新規定：

所有外籍人士入境前3天須上網填報「馬來西亞數位入境卡」(MDAC)

填報網址：https://imigresen-online.imi.gov.my/mdac/main

需填寫資料：
- 姓名、國籍
- 護照號碼及有效日期
- 電子郵件及手機號碼
- 抵離馬國日期
- 入境交通方式（陸、海、空）

例外情況：過境不入境者、馬國永久居民、MACS持有者免填。",馬來西亞 入境卡 MDAC 數位入境,對話分析,馬來西亞需要辦入境卡嗎？是的，自2023年12月起，外籍人士入境前3天須上網填報MDAC數位入境卡，網址imigresen-online.imi.gov.my/mdac/main。
